Tabelle: DD02T
Angezeigte Felder:  3 von  3  Feststehende Führungsspalten: 2  Listbreite 0250
------------------------------------------------------------------------------------------------------------
| |TABNAME                         |DDLANGUAGE|DDTEXT                                                      |
| |E1ACH1                          |U         |Taloushallinnon kirjaus: lasku (otsikko)                    |
| |E1ACH2                          |U         |Taloushallinnon kirjaus materiaalihallinnosta: otsikko      |
| |E1ACH3                          |U         |Taloushallinnon kirjaus: saapuva lasku (otsikko)            |
| |E1ACK3                          |U         |Taloushallinnon kirjaus: saapuva lasku (toimittaja)         |
| |E1ACK3C                         |U         |Taloush. kirjaus: saapuva lasku (valuuttakentät, toimitt.)  |
| |E1ACPA                          |U         |Taloushallinto: kumppani - lasku (Load Receivable)          |
| |E1ACT1                          |U         |Taloushallinnon kirjaus: lasku (verot)                      |
| |E1ACT1C                         |U         |Taloushallinnon kirjaus: lasku (valuuttakentät, verot)      |
| |E1ACT3                          |U         |Taloushallinnon kirjaus: saapuva lasku (verot)              |
| |E1ACT3C                         |U         |Taloushall. kirjaus: saapuva lasku (valuuttakentät, verot)  |
| |E1ACTI1                         |U         |SAPin toimintolajit                                         |
| |E1ACTIVITYTYPEGROUP_ADDNODE     |U         |Otsikkosegmentti                                            |
| |E1ACTIVITYTYPEGROUP_CREATE      |U         |Otsikkosegmentti                                            |
| |E1ADDI1                         |U         |IDOC: myyntiapuvälineet                                     |
| |E1ADHDR                         |U         |Vahvistettujen IDOCien sanomatyyppi jne.                    |
| |E1ADR2MAS                       |U         |Otsikkosegmentti                                            |
| |E1ADR3MAS                       |U         |Otsikkosegmentti                                            |
| |E1ADRE0                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE1                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE2                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE3                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE4                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE5                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE6                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE7                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE8                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRE9                         |U         |Kesk. osoitesegmenttiryhmä, lisätietosegmentti              |
| |E1ADRM0                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM1                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM2                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM3                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM4                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM5                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM6                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM7                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM8                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRM9                         |U         |Kesk. osoitesegmenttiryhmä, pääsegmentti                    |
| |E1ADRMAS                        |U         |Otsikkosegmentti                                            |
| |E1ADRP0                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP1                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP2                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP3                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP4                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP5                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP6                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP7                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP8                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1ADRP9                         |U         |Kesk. osoitesegmenttiryhmä, henkilösegmentti                |
| |E1AEDTM                         |U         |Muutosperustietojen vaihtoehtoiset päivämäärät              |
| |E1AEEFH                         |U         |Voimassaolon muuttuvat kentät (_HI)                         |
| |E1AEEFL                         |U         |Voimassaolon muuttuvat kentät (_LO)                         |
| |E1AEEFM                         |U         |Voimassaolon kentät                                         |
| |E1AEEFO                         |U         |Voimassaolon muuttuvat kentät (_OI)                         |
| |E1AENRH                         |U         |Muutosperustietue: muutosnumeroselitys (otsikko)            |
| |E1AENRL                         |U         |Muutosperustietue: muutosnumeroselitys (rivi)               |
| |E1AENRM                         |U         |Muutosperustietue                                           |
| |E1AENVM                         |U         |Muutosperustietueen objektityypit                           |
| |E1AEOIH                         |U         |Objektinhallintatietue: lisätietojen selitys (otsikko)      |
| |E1AEOIL                         |U         |Objektinhallintatietue: lisätietojen selitys (rivi)         |
| |E1AEOIM                         |U         |Muutosperustietojen objektinhallintatietueet                |
| |E1AEPFL                         |U         |Voimassaolon (ylläpito) muuttuvat kentät (_LO)              |
| |E1AEPFM                         |U         |Voimassaolon kentät (ylläpito)                              |
| |E1AERLM                         |U         |Objektinhallintatietueet: muutosperustietue, revisiotila    |
| |E1AFABL                         |U         |Järjestyssuhteet (AFAB)                                     |
| |E1AFFLL                         |U         |Tuotantotilausjärjestys (AFFL)                              |
| |E1AFKOL                         |U         |Tuotantotilausotsikko (AFKO, AUFK)                          |
| |E1AFPOL                         |U         |Tuotantotilausrivit (AFPO)                                  |
| |E1AFUVL                         |U         |Tuotantotilaus - alivaiheet (AFVV, AFVC)                    |
| |E1AFVOL                         |U         |Tuotantotilaus - vaiheet (AFVV, AFVC)                       |
| |E1ALEQ1                         |U         |ALE - pyyntö-IDOC - rivisegmentti                           |
| |E1ALER1                         |U         |ALE - pyyntö-IDoc - otsikkosegmentti                        |
| |E1ASMDM                         |U         |Palvelujen perustiedot - perustiedot                        |
| |E1ASMDT                         |U         |Palvelujen perustiedot - lyhyet selitykset                  |
| |E1AUSPM                         |U         |Jako - luokitus: objektin ominaisuusarvot                   |
| |E1BACK1                         |U         |KK5: sarjatilaukset / jälkikirjaus                          |
| |E1BANK_CHANGE                   |U         |Otsikkosegmentti                                            |
| |E1BANK_CREATE                   |U         |Otsikkosegmentti                                            |
| |E1BANK_SAVEREPLICA              |U         |Otsikkosegmentti                                            |
| |E1BAT1                          |U         |CC5                                                         |
| |E1BATMAS                        |U         |Otsikkosegmentti                                            |
| |E1BMUMAS                        |U         |Otsikkosegmentti                                            |
| |E1BP0015ID2                     |U         |EC-PCA: tulosyksikön objektiavain 2                         |
| |E1BP0015_10                     |U         |BAPI: tulosyksikön kieli                                    |
| |E1BP0015_4                      |U         |EC-PCA: BAPI-siirtorakenne - luo                            |
| |E1BP0015_4X                     |U         |EC-PCA: BAPI-päivitysrakenne                                |
| |E1BP0015_5                      |U         |EC-PCA: BAPI-tuloskyksikön osoitetiedot - muuta/luo         |
| |E1BP0015_5X                     |U         |EC-PCA: päivitysrakenne BAPI                                |
| |E1BP0015_6                      |U         |EC-PCA: BAPI-tulosyksikön tietoliikennetiedot - muuta/luo   |
| |E1BP0015_6X                     |U         |EC-PCA: päivitysrakenne - tietoliikenne BAPI                |
| |E1BP0015_7                      |U         |EC-PCA: BAPI-tulosyksikön yhteisyritystiedot - luo          |
| |E1BP0015_7X                     |U         |EC-PCA: tulosyksikön yrityskohdistus & yhteisyritystiedot   |
| |E1BP0015_8                      |U         |EC-PCA: siirtorakenne, tunnus - tulosyksikön perustiedot    |
| |E1BP0015_8X                     |U         |EC-PCA: päivitysrakenne tunnus BAPI                         |
| |E1BP0015_9                      |U         |EC-PCA: merkki - testiajo BAPI                              |
| |E1BP1001004_QMAT                |U         |Nimikkeen QM-tarkastustiedot (QMAT): ALE-jako + BAPI        |
| |E1BP1003_ADD                    |U         |BAPI-luokka: lisätiedot                                     |
| |E1BP1003_ALLOC_VALUES           |U         |BAPI luokkakohdistuksen ominaisuusarvot                     |
| |E1BP1003_ALLOC_VALUES_CHAR      |U         |BAPI-luokitus - arvonmääritykset tyyppi CHAR, BOOLEAN       |
| |E1BP1003_ALLOC_VALUES_CURR      |U         |BAPI-luokitus - arvonmääritykset tyyppi CURR                |
| |E1BP1003_ALLOC_VALUES_NUM       |U         |BAPI-luokitus - arvonmääritykset tyyppi NUM, DATE, TIME     |
| |E1BP1003_BASIC                  |U         |BAPI-luokka: perustiedot                                    |
| |E1BP1003_CATCH                  |U         |BAPI-luokka: asiasanat                                      |
| |E1BP1003_CHARACT                |U         |BAPI-luokka: ominaisuudet                                   |
| |E1BP1003_CHARACT_OVERWR         |U         |BAPI-luokka: muuta ominaisuusmääritteitä luokkaperusteisesti|
| |E1BP1003_CHARACT_VALUE_OVR      |U         |BAPI-luokka: ylläpidä ominaisuusarvoja luokkaperusteisesti  |
| |E1BP1003_CHARVALTEXT            |U         |BAPI-luokka: ominaisuusarvon nimityksen korvaaminen         |
| |E1BP1003_DOCU                   |U         |BAPI-luokka: asiakirjayhteys                                |
| |E1BP1003_LONGTEXT               |U         |BAPI-luokka: selitystekstit                                 |
| |E1BP1003_STAND                  |U         |BAPI-luokka: normikentät                                    |
| |E1BP1003_TREE                   |U         |Luokkahierarkian kuvaus                                     |
| |E1BP1010_1                      |U         |Siirtorakenne - 1010/GetStatus/yleiset tiedot               |
| |E1BP1010_2                      |U         |Siirtorakenne - 1010/GetStatus/viivästyspäivät              |
| |E1BP1011_ADDRESS                |U         |Siirtorakenne, objekti 1011: pankin osoite                  |
| |E1BP1011_ADDRESSX               |U         |Siirtorakenne, objekti 1011: pankki                         |
| |E1BP1011_DETAIL                 |U         |Siirtorakenne, objekti 1011: pankin lisätiedot              |
| |E1BP1011_DETAILX                |U         |Siirtorakenne, objekti 1011: pankin lisätiedot              |
| |E1BP1012_CHA_C                  |U         |Tarkastusominaisuudet vaiheluetteloiden CREATE-BAPIssa      |
| |E1BP1012_COM_C                  |U         |Komponenttikohdistus vaiheluetteloiden CREATE-BAPIssa       |
| |E1BP1012_MTK_C                  |U         |Nimike-VL-kohdistus vaiheluetteloiden CREATE-BAPIssa        |
| |E1BP1012_OPR_C                  |U         |Vaiheet vaiheluetteloiden CREATE-BAPIssa                    |
| |E1BP1012_PRT_C                  |U         |TAV-kohdistukset vaiheluetteloiden CREATE-BAPIssa           |
| |E1BP1012_REF_OPR_C              |U         |Vakiosuunnitteluviite vaiheluetteloiden CREATE-BAPIssa      |
| |E1BP1012_SEQ_C                  |U         |Vaiheluettelojärjestykset vaiheluetteloiden CREATE-BAPIssa  |
| |E1BP1012_SUB_OPR_C              |U         |Alivaiheet vaiheluetteloiden CREATE-BAPIssa                 |
| |E1BP1012_TSK_C                  |U         |Vaiheluettelon ots.tiedot vaiheluetteloiden CREATE-BAPIssa  |
| |E1BP1012_TXT_C                  |U         |Selitysrivit vaiheluetteloiden CREATE-BAPIssa               |
| |E1BP1012_TXT_HDR_C              |U         |Tekstikohdistukset vakiovaiheluetteloiden CREATE-BAPIssa    |
| |E1BP1012_WC_REF_OPR_C           |U         |Vakiotehtävä vaiheluetteloiden CREATE-BAPIssa               |
| |E1BP1022_CUMVAL                 |U         |Looginen kenttäryhmä CUMVAL: kumuloituneet siirtoarvot      |
| |E1BP1022_DEP_AREAS              |U         |Arvostusalueet (kaikki loogiset kenttäryhmät)               |
| |E1BP1022_DEP_AREASX             |U         |Arvostusalueet (kaikki loogiset kenttäryhmät)               |
| |E1BP1022_FEGLG001               |U         |Looginen kenttäryhmä 001 - yleiset tiedot                   |
| |E1BP1022_FEGLG001X              |U         |Looginen kenttäryhmä 001 - yleiset tiedot                   |
| |E1BP1022_FEGLG002               |U         |Looginen kenttäryhmä 002 - kirjaustiedot                    |
| |E1BP1022_FEGLG002X              |U         |Looginen kenttäryhmä 002 - kirjaustiedot                    |
| |E1BP1022_FEGLG003               |U         |Looginen kenttäryhmä 003 - aikasidonnaiset tiedot           |
| |E1BP1022_FEGLG003X              |U         |Looginen kenttäryhmä 003 - aikasidonnaiset tiedot           |
| |E1BP1022_FEGLG004               |U         |Looginen kenttäryhmä 004 - kohdistukset                     |
| |E1BP1022_FEGLG004X              |U         |Looginen kenttäryhmä 004 - kohdistukset                     |
| |E1BP1022_FEGLG005               |U         |Looginen kenttäryhmä 005 - leasing                          |
| |E1BP1022_FEGLG005X              |U         |Looginen kenttäryhmä 005 - leasing                          |
| |E1BP1022_FEGLG006               |U         |Looginen kenttäryhmä 006 - omaisuuden arvostus              |
| |E1BP1022_FEGLG006X              |U         |Looginen kenttäryhmä 006 - omaisuuden arvostus              |
| |E1BP1022_FEGLG007               |U         |Looginen kenttäryhmä 007 - maa-alueet ja vastaavat oikeudet |
| |E1BP1022_FEGLG007X              |U         |Looginen kenttäryhmä 007 - maa-alueet ja vastaavat oikeudet |
| |E1BP1022_FEGLG008               |U         |Looginen kenttäryhmä 008 - vakuutukset                      |
| |E1BP1022_FEGLG008X              |U         |Looginen kenttäryhmä 008 - vakuutukset                      |
| |E1BP1022_FEGLG009               |U         |Looginen kenttäryhmä 009 - alkuperä                         |
| |E1BP1022_FEGLG009X              |U         |Looginen kenttäryhmä 009 - alkuperä                         |
| |E1BP1022_FEGLG010               |U         |Looginen kenttäryhmä 010 - investointitiliöinnit            |
| |E1BP1022_FEGLG010X              |U         |Looginen kenttäryhmä 010 - investointitiliöinnit            |
| |E1BP1022_FEGLG011               |U         |Looginen kenttäryhmä 011 - inventointi                      |
| |E1BP1022_FEGLG011X              |U         |Looginen kenttäryhmä 011 - inventointi                      |
| |E1BP1022_KEY                    |U         |Avainkentät Luonti-toiminnon yhteydessä                     |
| |E1BP1022_POSTVAL                |U         |Looginen kenttäryhmä POSTVAL: kirjatut siirtoarvot          |
| |E1BP1022_PROPVAL                |U         |Ennen siirtoa poistetun KO-yksikön arvot                    |
| |E1BP1022_REFERENCE              |U         |Viitekäyttöomaisuusyksikkö luonnin yhteydessä               |
| |E1BP1022_TRTYPE                 |U         |Vanhan KO-yksikön tapahtumat, tilikauden aikana tehty siirto|
| |E1BP1036_BPALELIST              |U         |Liittymärakenne: replikoi lt-prosessi ALE:n avulla          |
| |E1BP1036_BPINPUTLIST            |U         |Liittymärakenne: luo syöttöluettelo lt-prosessia varten     |
| |E1BP1036_COKL                   |U         |BAPI-komentotulkki taulua COKL varten                       |
| |E1BP1036_COST                   |U         |BAPI-komentotulkki taulua COST varten                       |
| |E1BP1036_COST1                  |U         |BAPI-komentotulkki taulua COST varten                       |
| |E1BP1068E2                      |U         |Rakenne: vahvistus, halutut määrät                          |
| |E1BP1068E2_OLD                  |U         |Rakenne: haluttujen määrien vahvistus (vertailuarvot)       |
| |E1BP1076_BOND                   |U         |Joukkovelkakirjalainojen parametrit                         |
| |E1BP1076_BONDWARRANT            |U         |Rahoitustuote parametrirakenne (korko-optiotodistus)        |
| |E1BP1076_CONDITION              |U         |Ehtorivit                                                   |
| |E1BP1076_CONVERTIBLEBOND        |U         |Vaihtovelkakirjalainan parametrit                           |
| |E1BP1076_CURRENCYWARRANT        |U         |Rahoitustuote parametrirakenne (valuuttaoptiotodistus)      |
| |E1BP1076_EQUITYWARRANT          |U         |Rahoitustuote parametrirakenne (arvopaperioptiotodistus)    |
| |E1BP1076_FORMULAR               |U         |Kaava                                                       |
| |E1BP1076_FUTURE                 |U         |Futuurin määritteet                                         |
| |E1BP1076_INDEX                  |U         |Toissijaisindeksi - lajitiedot                              |
| |E1BP1076_INDEXWARRANT           |U         |Rahoitustuote parametrirakenne (indeksioptiotodistus)       |
| |E1BP1076_INVESTMENT             |U         |Sijoitustodistusten parametrit                              |
| |E1BP1076_LISTING                |U         |Pörssinoteeraus                                             |
| |E1BP1076_OPTION                 |U         |Optioiden määritteet                                        |
| |E1BP1076_REFERENCE              |U         |Viiterakenne                                                |
| |E1BP1076_SHAREHOLDING           |U         |Osakkuuksien parametrit                                     |
| |E1BP1076_STOCK                  |U         |Osakkeiden parametrit                                       |
| |E1BP1076_SUBSCRIPTIONRIGHT      |U         |Merkintäoikeudet                                            |
| |E1BP1076_WARRANTBOND            |U         |Optiolainan parametrit                                      |
| |E1BP1078_DANGERGOODDATAX        |U         |Vaarallisten aineiden nimikeperustiedot: valintaluettelo    |
| |E1BP1078_DANGERGOODPACKX        |U         |Vaarallisten aineiden pakkausvaatimukset: valintaluettelo   |
| |E1BP1078_DANGEROUSGOODDATA      |U         |Parametrit vaarallisten aineiden nimikeperustietoja varten  |
| |E1BP1078_DANGEROUSGOODDATA1     |U         |Parametrit vaarallisten aineiden nimikeperustietoja varten  |
| |E1BP1078_DANGEROUSGOODDATA2     |U         |Parametrit vaarallisten aineiden nimikeperustietoja varten  |
| |E1BP1078_DANGEROUSGOODPACK      |U         |Vaarallisten aineiden pakkausvaatimusten parametrit         |
| |E1BP1078_RANGE                  |U         |Arvoaluetaulun rakenne (vaarallinen aine)                   |
| |E1BP1078_SENDER                 |U         |Jaon (vaarallinen aine) kohdejärjestelmän parametrit        |
| |E1BP1080_BGR_C                  |U         |Rakenneryhmä CREATE-/CHANGE BAPI nimikerakenne              |
| |E1BP1080_BOM_C                  |U         |Vaihtoehto/variantti CREATE-/CHANGE BAPI nimikerakenne      |
| |E1BP1080_ITM_C                  |U         |Komponentti CREATE-/CHANGE BAPI nimikerakenteet             |
| |E1BP1080_MBM_C                  |U         |Nimikekohdistus CREATE-/CHANGE BAPI nimikerakenteet         |
| |E1BP1080_REL_ITM_BOM_C          |U         |Kohdistukset CREATE-/CHANGE BAPI ITM/BOM nimikerakenteet    |
| |E1BP1080_REL_SUI_ITM_C          |U         |Kohdistukset CREATE-/CHANGE BAPI SUI/ITM nimikerakenteet    |
| |E1BP1080_SUI_C                  |U         |Alirivi CREATE-/CHANGE BAPI nimikerakenteeet                |
| |E1BP1080_TXT_C                  |U         |Selitysrivit: CREATE-/CHANGE BAPI nimikerakenteita varten   |
| |E1BP1093_0                      |U         |BAPI-kurssitaulu                                            |
| |E1BP1112_VALUES                 |U         |Kustannuspaikkaryhmät - välit hierarkiassa                  |
| |E1BP1113_VALUES                 |U         |Kustannuslajiryhmät - välit hierarkiassa                    |
| |E1BP1114_VALUES                 |U         |Liiketoimintaprosessiryhmät - välit hierarkiassa            |
| |E1BP1115_VALUES                 |U         |Toimintolajiryhmät - välit hierarkiassa                     |
| |E1BP1116_VALUES                 |U         |Tulosyksikköryhmät - välit hierarkiassa                     |
| |E1BP1117_VALUES                 |U         |Tulosyksikköryhmät - välit hierarkiassa                     |
| |E1BP1137_PROCESSSTRUCTURE       |U         |Rakenne SBP-ympäristön prosessikaavioiden luontia varten    |
| |E1BP1173_QUOTA_SCALE            |U         |Kiintiöpalkin otsikko                                       |
| |E1BP1173_QUOTA_SCALE_ITEM       |U         |Kiintiöpalkin rivitiedot                                    |
| |E1BP1173_QUOTA_SCALE_TEXT       |U         |Kiintiöpalkin otsikkoteksti                                 |
| |E1BP1173_VALID_QUOTA            |U         |Voimassa oleva kiintiöpalkki tmp:tä/tavararyhmää kohti      |
| |E1BP1173_VALUE_SCALE            |U         |Arvopalkin otsikko                                          |
| |E1BP1173_VALUE_SCALE_ITEM       |U         |Arvopalkin rivitiedot                                       |
| |E1BP1173_VALUE_SCALE_TEXT       |U         |Arvopalkin otsikkoteksti                                    |
| |E1BP1190_CHA_C                  |U         |Suorasyötön tarkastusominaisuudet (sisäinen muoto) EWB:ssä  |
| |E1BP1190_COM_C                  |U         |Komponenttikohdistus vakiovaiheluetteloiden CREATE-BAPIssa  |
| |E1BP1190_MTK_C                  |U         |Nimike-VL-kohdistus vakiovaiheluetteloiden CREATE-BAPIssa   |
| |E1BP1190_OPR_C                  |U         |Vaiheet vakiovaiheluetteloiden CREATE-BAPIssa               |
| |E1BP1190_PRT_C                  |U         |TAV-kohdistukset vakiovaiheluetteloiden CREATE-BAPIssa      |
| |E1BP1190_SUB_OPR_C              |U         |Alivaiheet vakiovaiheluetteloiden CREATE-BAPIssa            |
| |E1BP1190_TSK_C                  |U         |VL-otsikkotiedot vakiovaiheluetteloiden CREATE-BAPIssa      |
| |E1BP1190_TXT_HDR_C              |U         |Tekstikohdistukset vakiovaiheluetteloiden CREATE-BAPIssa    |
| |E1BP1191_CHA_C                  |U         |Tarkastusominaisuudet tarkastussuunnitelmien CREATE-BAPIssa |
| |E1BP1191_MTK_C                  |U         |Nimike-suunn.-kohdistus tark.suunnitelmien CREATE-BAPIssa   |
| |E1BP1191_OPR_C                  |U         |Vaiheet tarkastussuunnitelmien CREATE-BAPIssa               |
| |E1BP1191_PRT_C                  |U         |TAV-kohdistukset tarkastussuunnitelmien CREATE-BAPIssa      |
| |E1BP1191_REF_OPR_C              |U         |Vakiosuunnitelmaviite tarkastussuunnitelmien CREATE-BAPIssa |
| |E1BP1191_TSK_C                  |U         |Suunnitelman otsikkotiedot tark.suunnitelmien CREATE-BAPIssa|
| |E1BP1191_TXT_HDR_C              |U         |Tekstikohdistukset tarkastussuunnitelmien CREATE-BAPIssa    |
| |E1BP2017_GM_CODE                |U         |MMIM: GM_CODEn muunto - varastonhallinnan tapahtuma         |
| |E1BP2017_GM_HEAD_01             |U         |BAPI-tietoliikennerakenne: nimiketosite, otsikkotiedot      |
| |E1BP2017_GM_ITEM_04             |U         |BAPI-tietoliikennerakenne: peruuta nimiketosite, rivit      |
| |E1BP2017_GM_ITEM_CREATE         |U         |BAPI-tietoliikennerakenne: luo nimiketositerivi             |
| |E1BP2017_GM_SERIALNUMBER        |U         |BAPI-tietoliikennerakenne: luo nimiketosite, sarjanumerot   |
| |E1BP2021_ACCOUNTS               |U         |BAPI maksupyyntö: tilit                                     |
| |E1BP2021_ADDRESS                |U         |Maksupyyntö: osoitetiedot                                   |
| |E1BP2021_AMOUNTS                |U         |BAPI maksupyyntö: summat ja valuutat                        |
| |E1BP2021_BANK                   |U         |BAPI maksupyyntö: pankkitiedot                              |
| |E1BP2021_CENTRALBANKREP         |U         |BAPI maksupyyntö: ilmoitustiedot                            |
| |E1BP2021_CORRDOC                |U         |BAPI maksupyyntö: vastaava kirjanpitotosite                 |
| |E1BP2021_DATES                  |U         |BAPI maksupyyntö: tiedot                                    |
| |E1BP2021_INSTRUCTIONS           |U         |BAPI maksupyyntö: ohjeavain                                 |
| |E1BP2021_ORGANISATIONS          |U         |BAPI maksupyyntö: organisaatiot                             |
| |E1BP2021_ORIGIN                 |U         |BAPI maksupyyntö: alkuperä                                  |
| |E1BP2021_PAYMENTCTRL            |U         |BAPI maksupyyntö: maksun ohjaus                             |
| |E1BP2021_REFERENCES             |U         |BAPI maksupyyntö: viitetiedot                               |
| |E1BP2021_REFTEXT                |U         |BAPI maksupyyntö: käyttötarkoitustekstit                    |
| |E1BP2021_REPORTS                |U         |Raportit ja variantit suunnittelua varten - maksuohjelma    |
| |E1BP2021_SELREQUESTID           |U         |Maksupyyntö - avainnumerot arvoalueena                      |
| |E1BP2042_MAINTAIN_FX            |U         |Valuutat: liiketapahtumien ylläpidon BAPI-siirtorakenne     |
| |E1BP2042_MAINTAIN_MM            |U         |Rahamarkkinat: liiketapahtumien ylläpidon BAPI-siirtorakenne|
| |E1BP2054_MASTERDATA_ALE         |U         |BAPI projektirakenteen osa ALE:a varten                     |
| |E1BP2054_OBJECTSTATUS_ALE       |U         |BAPI structure Object status for ALE                        |
| |E1BP2054_PROJDEFINITION         |U         |BAPI Structure Project Definition for ALE                   |
| |E1BP2054_STATUSHEADER_ALE       |U         |Bapi structure Status object information for ALE            |
| |E1BP2075_6                      |U         |Luo purkamissääntö                                          |
| |E1BP2075_7                      |U         |Luo tilausperustiedot - BAPIt                               |
| |E1BP2075_MASTERDATA_ALE         |U         |Luo tilausperustiedot - BAPIt, ALE-skenaario                |
| |E1BP2075_OBJECTSTATUS_ALE       |U         |Yksittäinen objektitila tilan asetuksessa ALE-skenaariossa  |
| |E1BP2075_STATUSHEADER_ALE       |U         |Tilainfo (otsikko) tilan asetuksessa ALE-skenaariossa       |
| |E1BP2080_NOTACTVI               |U         |Ilmoitustoiminto luontia varten                             |
| |E1BP2080_NOTCAUSI               |U         |Ilmoituksen syy luontia varten                              |
| |E1BP2080_NOTFULLTXTI            |U         |Ilmoituksen selitys                                         |
| |E1BP2080_NOTHDRI                |U         |BAPI-palveluilmoitusotsikko luontia varten                  |
| |E1BP2080_NOTITEMI               |U         |Ilmoitusrivi luontia varten                                 |
| |E1BP2080_NOTKEYE                |U         |Avainsuhteet                                                |
| |E1BP2080_NOTPARTNRI             |U         |Kumppani luontia/muutosta varten                            |
